fold,held_out_subject,n_epochs,stage_acc,stage_macro_f1,stage_bal_acc,fusion_acc,fusion_macro_f1,fusion_bal_acc
1,sub-100,996,0.857429718875502,0.5905328430565002,0.7287094403048698,0.75,0.5307354772639723,0.6985680241075924
2,sub-101,935,0.8545454545454545,0.6533742500189869,0.748037970255959,0.7700534759358288,0.6024967676120738,0.8060653102765899
3,sub-102,963,0.8348909657320872,0.5754267425320057,0.6704489832243136,0.7445482866043613,0.49807489085034967,0.7433330200322019
4,sub-103,858,0.796037296037296,0.6370727798224338,0.6086220695321349,0.7482517482517482,0.6180798608284072,0.7172622979997145
5,sub-104,839,0.8712753277711561,0.7493087507523514,0.7515043060450927,0.8462455303933254,0.762584695308256,0.8605869557574781
6,sub-105,965,0.8818652849740932,0.7697428337589108,0.806215585944139,0.805181347150259,0.7142128971385356,0.8277944583977741
7,sub-106,878,0.7779043280182233,0.5744227840112787,0.6244989666056697,0.7608200455580866,0.6310594301471486,0.7345916463837121
8,sub-107,952,0.898109243697479,0.6118340904118551,0.610763190298074,0.8382352941176471,0.6830062653512997,0.749617836264103
9,sub-108,995,0.7648241206030151,0.5938134057252336,0.6207333605499417,0.7788944723618091,0.6774006083724411,0.7480191195451651
10,sub-11,984,0.6717479674796748,0.3283889711271198,0.38163991552617144,0.556910569105691,0.4650269222835274,0.5592191261622541
11,sub-124,889,0.9088863892013498,0.7344712919567818,0.7234243442430582,0.8143982002249719,0.5870965453688226,0.8248518458611945
12,sub-125,975,0.8020512820512821,0.5925752878254551,0.7726511936496978,0.7097435897435898,0.5474549055881255,0.7601733739542266
13,sub-14,1068,0.7818352059925093,0.6023332602131142,0.6527453673783813,0.795880149812734,0.6992087957234243,0.8537362203223035
14,sub-18,1047,0.828080229226361,0.6040273537373455,0.6094705206488488,0.8204393505253104,0.7362103879612522,0.8154747029678285
15,sub-20,1048,0.8683206106870229,0.6858496613952226,0.6620078063459811,0.7814885496183206,0.682596676133659,0.8201533493691278
16,sub-22,1034,0.7911025145067698,0.5968008220222755,0.6219150748370696,0.7350096711798839,0.5779804001826243,0.7308439975767342
17,sub-23,1119,0.8105451295799821,0.5007747719306359,0.4915979860804689,0.7542448614834674,0.5497184739083546,0.5730256961084029
18,sub-24,933,0.5230439442658092,0.3524814660563848,0.4311767662554617,0.6034297963558414,0.5862029935026192,0.6859348296873206
19,sub-25,1083,0.602954755309326,0.29217425603742175,0.2927289364636444,0.6297322253000923,0.3736144361367053,0.3819377356214549
20,sub-26,972,0.684156378600823,0.5053399097261796,0.49588382271088366,0.7623456790123457,0.6843380926201711,0.7055498968687994
21,sub-3,997,0.8084252758274825,0.7232784807932481,0.7663837763415747,0.7492477432296891,0.6607177717522422,0.7735551190527313
22,sub-30,834,0.934052757793765,0.6566447234217423,0.6470580814645361,0.8453237410071942,0.635727858131892,0.7159456922348156
23,sub-31,850,0.9058823529411765,0.6237455066714966,0.657186005690553,0.8117647058823529,0.5951706873273943,0.7874544608167057
24,sub-32,832,0.8990384615384616,0.6509832230229733,0.6437719508099295,0.8425480769230769,0.6714554992242369,0.8569884556885988
25,sub-33,876,0.8698630136986302,0.757793500881427,0.7525174984469083,0.8321917808219178,0.7527187369505558,0.8400964357695615
26,sub-34,918,0.4793028322440087,0.22105149752208575,0.28858350951374206,0.5435729847494554,0.28094317545577896,0.42622590323940046
27,sub-35,866,0.9030023094688222,0.5946421203153877,0.7719537362521545,0.8233256351039261,0.5788262046975085,0.8305037492715346
28,sub-36,895,0.8681564245810056,0.7026967020675075,0.702666353897881,0.8167597765363128,0.6716099292300624,0.7658847447024788
29,sub-37,857,0.823803967327888,0.5348688215158198,0.7158091623746273,0.7876312718786465,0.5662570991678517,0.7961260203005933
30,sub-38,851,0.7203290246768508,0.4060834718604146,0.3861772090615198,0.7708578143360753,0.5893502109351925,0.556497873807301
31,sub-39,900,0.8422222222222222,0.6601670145293139,0.6651008533493259,0.8,0.6886202936852229,0.8678120860809251
32,sub-4,1070,0.5336448598130841,0.48002366971678984,0.550048086676293,0.5570093457943925,0.5461606694078831,0.6561531665723067
